Time,Latitude,Longitude,Altitude,PosX,PosY,PosZ,VelX,VelY,VelZ
33.0,35.2405875,-101.74525999999997,86567.90000000037,-1075976.2595518993,-5175102.67063086,3709649.6873929766,-4985.808322118595,-7.1569414883852005,-2444.725052206777
34.0,35.217575,-101.79814666666664,85994.2666666666,-1080962.0678740179,-5175109.8275723485,3707204.96234077,-4984.863304393599,6.573309227824211,-2450.588286439888
35.0,35.194562499999996,-101.8510333333333,85410.83333333302,-1085946.9311784115,-5175103.254263121,3704754.37405433,-4983.887537448667,20.306730350479484,-2456.4413662548177
36.0,35.171549999999996,-101.90391999999997,84817.59999999963,-1090930.8187158601,-5175082.94753277,3702297.932688075,-4982.8810055977665,34.04325878806412,-2462.2842862182297
37.0,35.148537499999996,-101.95680666666664,84214.56666666642,-1095913.699721458,-5175048.904273982,3699835.648401857,-4981.843693280825,47.78283141925931,-2468.117040905636
38.0,35.125524999999996,-102.0096933333333,83601.7333333334,-1100895.5434147387,-5175001.121442563,3697367.5313609513,-4980.775585060939,61.52538506966084,-2473.9396249065176
39.0,35.102512499999996,-102.06257999999997,82979.09999999963,-1105876.3189997997,-5174939.596057493,3694893.5917360447,-4979.676665619947,75.27085653226823,-2479.752032802906
40.0,35.079499999999996,-102.11546666666663,82346.66666666698,-1110855.9956654196,-5174864.325200961,3692413.839703242,-4978.546919770539,89.01918256096542,-2485.554259188939
41.0,35.056487499999996,-102.1683533333333,81704.43333333358,-1115834.5425851902,-5174775.3060184,3689928.285444053,-4977.386332442053,102.77029986213893,-2491.3462986643426
42.0,35.033474999999996,-102.22123999999997,81052.40000000037,-1120811.9289176322,-5174672.535718538,3687436.9391453885,-4976.1948886932805,116.52414511051029,-2497.128145831637
43.0,35.010462499999996,-102.27412666666663,80390.56666666642,-1125788.1238063255,-5174556.011573427,3684939.810999557,-4974.972573703621,130.28065493982285,-2502.8997952984646
44.0,34.987449999999995,-102.3270133333333,79718.93333333358,-1130763.096380029,-5174425.7309184875,3682436.9112042584,-4973.719372775173,144.03976594191045,-2508.6612416836433
45.0,34.964437499999995,-102.37989999999996,79037.5,-1135736.8157528043,-5174281.691152546,3679928.249962575,-4972.435271337628,157.80141467042267,-2514.4124796004035
46.0,34.941424999999995,-102.43278666666663,78346.2666666666,-1140709.251024142,-5174123.889737875,3677413.8374829744,-4971.120254943613,171.56553764268756,-2520.1535036792047
47.0,34.918412499999995,-102.4856733333333,77645.2333333334,-1145680.3712790855,-5173952.3242002325,3674893.683979295,-4969.77430926566,185.33207133505493,-2525.884308548644
48.0,34.895399999999995,-102.53855999999996,76934.40000000037,-1150650.1455883512,-5173766.992128897,3672367.7996707465,-4968.397420107154,199.10095218848437,-2531.604888842441
49.0,34.872387499999995,-102.59144666666663,76213.7666666666,-1155618.5430084583,-5173567.891176709,3669836.194781904,-4966.989573392086,212.87211660295725,-2537.315239202231
50.0,34.849374999999995,-102.6443333333333,75483.33333333302,-1160585.5325818504,-5173355.019060106,3667298.879542702,-4965.550755166914,226.64550094120204,-2543.0153542766348
51.0,34.826362499999995,-102.69721999999996,74743.09999999963,-1165551.0833370173,-5173128.373559165,3664755.8641884252,-4964.0809516073205,240.42104153335094,-2548.7052287142724
52.0,34.803349999999995,-102.75010666666662,73993.06666666642,-1170515.1642886247,-5172887.952517631,3662207.158959711,-4962.580149011221,254.19867466297,-2554.384857171681
53.0,34.780337499999995,-102.80299333333329,73233.2333333334,-1175477.7444376359,-5172633.7538429685,3659652.7741025393,-4961.048333797837,267.97833658661693,-2560.0542343142442
54.0,34.757324999999994,-102.85587999999996,72463.59999999963,-1180438.7927714337,-5172365.775506382,3657092.719868225,-4959.485492517473,281.7599635142833,-2565.71335480595
55.0,34.734312499999994,-102.90876666666662,71684.16666666698,-1185398.2782639512,-5172084.015542868,3654527.006513419,-4957.891611841042,295.5434916317463,-2571.36221332103
56.0,34.711299999999994,-102.96165333333329,70894.93333333358,-1190356.1698757922,-5171788.472051236,3651955.644300098,-4956.266678563319,309.32885707356036,-2577.0008045379072
57.0,34.688287499999994,-103.01453999999995,70095.90000000037,-1195312.4365543555,-5171479.143194162,3649378.64349556,-4954.61067960877,323.1159959528595,-2582.629123142455
58.0,34.665274999999994,-103.06742666666662,69287.06666666642,-1200267.0472339643,-5171156.027198209,3646796.0143724177,-4952.923602020135,336.9048443334177,-2588.2471638158895
59.0,34.642262499999994,-103.12031333333329,68468.43333333358,-1205219.9708359845,-5170819.122353876,3644207.767208602,-4951.205432971707,350.6953382547945,-2593.8549212613143
60.0,34.619249999999994,-103.17319999999995,67640.0,-1210171.1762689562,-5170468.427015621,3641613.9122873405,-4949.456159761408,364.48741371463984,-2599.452390172519
61.0,34.596237499999994,-103.22608666666662,66801.7666666666,-1215120.6324287176,-5170103.939601907,3639014.459897168,-4947.675769805908,378.2810066761449,-2605.0395652554
62.0,34.573224999999994,-103.27897333333328,65953.7333333334,-1220068.3081985235,-5169725.65859523,3636409.4203319126,-4945.864250656916,392.07605307083577,-2610.616441222839
63.0,34.550212499999994,-103.33185999999995,65095.90000000037,-1225014.1724491804,-5169333.58254216,3633798.8038906897,-4944.021589986514,405.87248879112303,-2616.1830127872527
64.0,34.52719999999999,-103.38474666666662,64228.266666666605,-1229958.194039167,-5168927.7100533685,3631182.6208779025,-4942.147775589488,419.6702496986836,-2621.73927467037
65.0,34.50418749999999,-103.43763333333328,63350.83333333302,-1234900.3418147564,-5168508.03980367,3628560.881603232,-4940.242795391707,433.4692716188729,-2627.2852215976454
66.0,34.48117499999999,-103.49051999999995,62463.59999999963,-1239840.584610148,-5168074.570532051,3625933.5963816345,-4938.306637444068,447.26949034258723,-2632.8208483043127
67.0,34.45816249999999,-103.54340666666661,61566.56666666642,-1244778.8912475922,-5167627.301041708,3623300.77553333,-4936.339289915748,461.07084163092077,-2638.346149523277
68.0,34.43514999999999,-103.59629333333328,60659.733333333395,-1249715.230537508,-5167166.230200077,3620662.429383807,-4934.340741111664,474.87326120585203,-2643.861119997222
69.0,34.41213749999999,-103.64917999999994,59743.09999999963,-1254649.5712786196,-5166691.356938872,3618018.5682638097,-4932.310979458271,488.6766847586259,-2649.3657544762827
70.0,34.38912499999999,-103.70206666666661,58816.66666666698,-1259581.8822580779,-5166202.680254113,3615369.2025093334,-4930.249993503559,502.4810479497537,-2654.860047711525
